Date,Open,High,Low,Close,AdjClose,Volume
Jul 2 2025,209.08,213.34,208.14,212.44,212.44,66327031
Jul 1 2025,206.67,210.19,206.14,207.82,207.82,78788900
Jun 30 2025,202.01,207.39,199.26,205.17,205.17,91912800
Jun 27 2025,201.89,203.22,200.00,201.08,201.08,73188600
Jun 26 2025,201.43,202.64,199.46,201.00,201.00,50799100
Jun 25 2025,201.45,203.67,200.62,201.56,201.56,39525700
Jun 24 2025,202.59,203.44,200.20,200.30,200.30,54064000
Jun 23 2025,201.63,202.30,198.96,201.50,201.50,55814300
Jun 20 2025,198.24,201.70,196.86,201.00,201.00,96813500
Jun 18 2025,195.94,197.57,195.07,196.58,196.58,45394700
Jun 17 2025,197.20,198.39,195.21,195.64,195.64,38856200
Jun 16 2025,197.30,198.69,196.56,198.42,198.42,43020700
Jun 13 2025,199.73,200.37,195.70,196.45,196.45,51447300
Jun 12 2025,199.08,199.68,197.36,199.20,199.20,43904600
Jun 11 2025,203.50,204.50,198.41,198.78,198.78,60989900
Jun 10 2025,200.60,204.35,200.57,202.67,202.67,54672600
Jun 9 2025,204.39,206.00,200.02,201.45,201.45,72862600
Jun 6 2025,203.00,205.70,202.05,203.92,203.92,46607700
Jun 5 2025,203.50,204.75,200.15,200.63,200.63,55126100
Jun 4 2025,202.91,206.24,202.10,202.82,202.82,43604000
Jun 3 2025,201.35,203.77,200.96,203.27,203.27,46381600
Jun 2 2025,200.28,202.13,200.12,201.70,201.70,35423300
May 30 2025,199.37,201.96,196.78,200.85,200.85,70819900
May 29 2025,203.58,203.81,198.51,199.95,199.95,51396800
May 28 2025,200.59,202.73,199.90,200.42,200.42,45339700
May 27 2025,198.30,200.74,197.43,200.21,200.21,56288500
May 23 2025,193.67,197.70,193.46,195.27,195.27,78432900
May 22 2025,200.71,202.75,199.70,201.36,201.36,46742400
May 21 2025,205.17,207.04,200.71,202.09,202.09,59211800
May 20 2025,207.67,208.47,205.03,206.86,206.86,42496600
May 19 2025,207.91,209.48,204.26,208.78,208.78,46140500
May 16 2025,212.36,212.57,209.77,211.26,211.26,54737900
May 15 2025,210.95,212.96,209.54,211.45,211.45,45029500
May 14 2025,212.43,213.94,210.58,212.33,212.33,49325800
May 13 2025,210.43,213.40,209.00,212.93,212.93,51909300

May 12 2025,210.97,211.27,206.75,210.79,210.79,63775800
May 9 2025,199.00,200.54,197.54,198.53,198.27,36453900
May 8 2025,197.72,200.05,194.68,197.49,197.23,50478900
May 7 2025,199.17,199.44,193.25,196.25,195.99,68536700
May 6 2025,198.21,200.65,197.02,198.51,198.25,51216500
May 5 2025,203.10,204.10,198.21,198.89,198.63,69018500
May 2 2025,206.09,206.99,202.16,205.35,205.08,101010600
May 1 2025,209.08,214.56,208.90,213.32,213.04,57365700
Apr 30 2025,209.30,213.58,206.67,212.50,212.22,52286500
Apr 29 2025,208.69,212.24,208.37,211.21,210.93,36827600
Apr 28 2025,210.00,211.50,207.46,210.14,209.86,38743100
Apr 25 2025,206.37,209.75,206.20,209.28,209.01,38222300
Apr 24 2025,204.89,208.83,202.94,208.37,208.10,47311000
Apr 23 2025,206.00,208.00,202.80,204.60,204.33,52929200
Apr 22 2025,196.12,201.59,195.97,199.74,199.48,52976400
Apr 21 2025,193.27,193.80,189.81,193.16,192.91,46742500
Apr 17 2025,197.20,198.83,194.42,196.98,196.72,51334300
Apr 16 2025,198.36,200.70,192.37,194.27,194.02,59732400
Apr 15 2025,201.86,203.51,199.80,202.14,201.88,51343900
Apr 14 2025,211.44,212.94,201.16,202.52,202.25,101352900
Apr 11 2025,186.10,199.54,186.06,198.15,197.89,87435900
Apr 10 2025,189.07,194.78,183.00,190.42,190.17,121880000
Apr 9 2025,171.95,200.61,171.89,198.85,198.59,184395900
Apr 8 2025,186.70,190.34,169.21,172.42,172.19,120859500
Apr 7 2025,177.20,194.15,174.62,181.46,181.22,160466300
Apr 4 2025,193.89,199.88,187.34,188.38,188.13,125910900
Apr 3 2025,205.54,207.49,201.25,203.19,202.92,103419000
Apr 2 2025,221.32,225.19,221.02,223.89,223.60,35905900
Apr 1 2025,219.81,223.68,218.90,223.19,222.90,36412700
Mar 31 2025,217.01,225.62,216.23,222.13,221.84,65299300
Mar 28 2025,221.67,223.81,217.68,217.90,217.61,39818600
Mar 27 2025,221.39,224.99,220.56,223.85,223.56,37094800
Mar 26 2025,223.51,225.02,220.47,221.53,221.24,34466100
Mar 25 2025,220.77,224.10,220.08,223.75,223.46,34493600
Mar 24 2025,221.00,221.48,218.58,220.73,220.44,44299500
Mar 21 2025,211.56,218.84,211.28,218.27,217.98,94127800
Mar 20 2025,213.99,217.49,212.22,214.10,213.82,48862900
Mar 19 2025,214.22,218.76,213.75,215.24,214.96,54385400
Mar 18 2025,214.16,215.15,211.49,212.69,212.41,42432400
Mar 17 2025,213.31,215.22,209.97,214.00,213.72,48073400
Mar 14 2025,211.25,213.95,209.58,213.49,213.21,60107600
Mar 13 2025,215.95,216.84,208.42,209.68,209.41,61368300
Mar 12 2025,220.14,221.75,214.91,216.98,216.70,62547500
Mar 11 2025,223.81,225.84,217.45,220.84,220.55,76137400
Mar 10 2025,235.54,236.16,224.22,227.48,227.18,72071200
Mar 7 2025,235.11,241.37,234.76,239.07,238.76,46273600
Mar 6 2025,234.44,237.86,233.16,235.33,235.02,45170400
Mar 5 2025,235.42,236.55,229.23,235.74,235.43,47227600
Mar 4 2025,237.71,240.07,234.68,235.93,235.62,53798100
Mar 3 2025,241.79,244.03,236.11,238.03,237.72,47184000
Feb 28 2025,236.95,242.09,230.20,241.84,241.52,56833400
Feb 27 2025,239.41,242.46,237.06,237.30,236.99,41153600
Feb 26 2025,244.33,244.98,239.13,240.36,240.05,44433600
Feb 25 2025,248.00,250.00,244.91,247.04,246.72,48013300
Feb 24 2025,244.93,248.86,244.42,247.10,246.78,51326400
Feb 21 2025,245.95,248.69,245.22,245.55,245.23,53197400
Feb 20 2025,244.94,246.78,244.29,245.83,245.51,32316900
Feb 19 2025,244.66,246.01,243.16,244.87,244.55,32204200
Feb 18 2025,244.15,245.18,241.84,244.47,244.15,48822500
Feb 14 2025,241.25,245.55,240.99,244.60,244.28,40896200
Feb 13 2025,236.91,242.34,235.57,241.53,241.21,53614100
Feb 12 2025,231.20,236.96,230.68,236.87,236.56,45243300
Feb 11 2025,228.20,235.23,228.13,232.62,232.32,53718400

Feb 10 2025,229.57,230.59,227.20,227.65,227.35,33115600
Feb 7 2025,232.60,234.00,227.26,227.63,227.08,39707200
Feb 6 2025,231.29,233.80,230.43,233.22,232.66,29925300
Feb 5 2025,228.53,232.67,228.27,232.47,231.91,39620300
Feb 4 2025,227.25,233.13,226.65,232.80,232.24,45067300
Feb 3 2025,229.99,231.83,225.70,228.01,227.46,73063300
Jan 31 2025,247.19,247.19,233.44,236.00,235.43,101075100
Jan 30 2025,238.67,240.79,237.21,237.59,237.02,55658300
Jan 29 2025,234.12,239.86,234.01,239.36,238.78,45486100
Jan 28 2025,230.85,240.19,230.81,238.26,237.69,75707600
Jan 27 2025,224.02,232.15,223.98,229.86,229.31,94863400
Jan 24 2025,224.78,225.63,221.41,222.78,222.24,54697900
Jan 23 2025,224.74,227.03,222.30,223.66,223.12,60234800
Jan 22 2025,219.79,224.12,219.79,223.83,223.29,64126500
Jan 21 2025,224.00,224.42,219.38,222.64,222.10,98070400
Jan 17 2025,232.12,232.29,228.48,229.98,229.43,68488300
Jan 16 2025,237.35,238.01,228.03,228.26,227.71,71759100
Jan 15 2025,234.64,238.96,234.43,237.87,237.30,39832000
Jan 14 2025,234.75,236.12,232.47,233.28,232.72,39435300
Jan 13 2025,233.53,234.67,229.72,234.40,233.84,49630700
Jan 10 2025,240.01,240.16,233.00,236.85,236.28,61710900
Jan 8 2025,241.92,243.71,240.05,242.70,242.12,37628900
Jan 7 2025,242.98,245.55,241.35,242.21,241.63,40856000
Jan 6 2025,244.31,247.33,243.20,245.00,244.41,45045600
Jan 3 2025,243.36,244.18,241.89,243.36,242.77,40244100
Jan 2 2025,248.93,249.10,241.82,243.85,243.26,55740700
Dec 31 2024,252.44,253.28,249.43,250.42,249.82,39480700
Dec 30 2024,252.23,253.50,250.75,252.20,251.59,35557500
Dec 27 2024,257.83,258.70,253.06,255.59,254.97,42355300
Dec 26 2024,258.19,260.10,257.63,259.02,258.40,27237100
Dec 24 2024,255.49,258.21,255.29,258.20,257.58,23234700
Dec 23 2024,254.77,255.65,253.45,255.27,254.66,40858800
Dec 20 2024,248.04,255.00,245.69,254.49,253.88,147495300
Dec 19 2024,247.50,252.00,247.09,249.79,249.19,60882300
Dec 18 2024,252.16,254.28,247.74,248.05,247.45,56774100
Dec 17 2024,250.08,253.83,249.78,253.48,252.87,51356400
