Date,Open,High,Low,Close,AdjClose,Volume
Jul 2 2025,263.70,272.00,262.76,269.55,269.55,12217783
Jul 1 2025,274.40,274.50,262.66,264.74,264.74,28847600
Jun 30 2025,274.73,277.71,272.13,275.65,275.65,24708400
Jun 27 2025,270.30,271.85,266.88,269.35,269.35,27477600
Jun 26 2025,265.08,271.67,264.13,270.17,270.17,23569600
Jun 25 2025,266.00,269.87,263.43,264.65,264.65,18894200
Jun 24 2025,258.77,265.87,258.77,263.77,263.77,32764900
Jun 23 2025,249.11,254.21,246.46,253.77,253.77,19747000

Jun 20 2025,253.21,253.52,244.17,249.99,249.99,42134900
Jun 18 2025,250.89,255.64,249.41,251.26,250.67,30435500
Jun 17 2025,250.95,253.96,247.92,249.37,248.78,22014300
Jun 16 2025,250.35,255.19,249.57,252.10,251.51,20363000
Jun 13 2025,250.66,254.00,248.35,248.70,248.12,19028400
Jun 12 2025,250.19,257.89,249.50,256.07,255.47,20410900
Jun 11 2025,246.36,254.77,243.80,252.91,252.32,24599000
Jun 10 2025,244.22,246.28,241.40,244.63,244.06,25491300
Jun 9 2025,245.05,248.17,241.11,244.28,243.71,25334100
Jun 6 2025,251.14,255.32,246.13,246.93,246.35,41146700
Jun 5 2025,262.95,264.89,259.06,259.93,259.32,41970900
Jun 4 2025,258.06,265.43,257.59,261.08,260.47,31536000
Jun 3 2025,250.08,257.88,249.40,256.85,256.25,30380200
Jun 2 2025,243.25,250.00,243.19,248.71,248.13,19197000
May 30 2025,241.22,243.17,234.90,242.07,241.50,27088600
May 29 2025,245.91,246.07,237.40,241.97,241.40,20768000
May 28 2025,237.15,240.99,234.43,239.43,238.87,20443000
May 27 2025,232.87,236.48,231.13,235.65,235.10,17941700
May 23 2025,226.94,230.65,226.18,228.72,228.18,15385600
May 22 2025,228.34,233.69,227.43,230.53,229.99,14340200
May 21 2025,228.39,236.50,227.83,229.73,229.19,17642900
May 20 2025,226.49,231.77,226.34,231.68,231.14,11787200
May 19 2025,221.85,231.25,221.60,230.63,230.09,15355500
May 16 2025,232.32,232.64,226.39,228.61,228.07,23094600
May 15 2025,230.16,234.46,228.07,232.64,232.09,18803700
May 14 2025,230.23,233.50,228.35,232.12,231.57,19751400
May 13 2025,222.00,235.28,222.00,232.42,231.87,28790500
May 12 2025,219.49,221.80,215.88,221.58,221.06,25437700
May 9 2025,209.33,209.96,206.52,208.20,207.71,13289200
May 8 2025,208.00,211.16,203.69,207.77,207.28,18460900
May 7 2025,199.29,206.23,198.43,204.81,204.33,20253700
May 6 2025,196.44,201.91,195.94,200.09,199.62,16348800
May 5 2025,200.25,203.23,200.00,200.72,200.25,14025400
May 2 2025,203.90,205.68,201.08,203.64,203.16,17766800
May 1 2025,198.14,201.40,196.24,197.33,196.87,24939700
Apr 30 2025,185.90,193.20,184.02,192.47,192.02,22768900
Apr 29 2025,191.72,193.25,190.10,191.17,190.72,14630000
Apr 28 2025,190.53,193.10,187.68,192.47,192.02,16385800
Apr 25 2025,186.92,193.37,186.89,192.31,191.86,21242300
Apr 24 2025,179.69,188.57,178.30,188.15,187.71,27576900
Apr 23 2025,177.78,180.45,175.82,176.91,176.49,24380500
Apr 22 2025,167.43,170.52,165.22,169.58,169.18,18504900
Apr 21 2025,166.99,168.00,161.61,166.21,165.82,23469800
Apr 17 2025,176.25,176.25,169.92,170.99,170.59,22501800
Apr 16 2025,170.43,176.08,166.92,174.61,174.20,34638600
Apr 15 2025,179.73,182.26,178.08,178.95,178.53,17242400
Apr 14 2025,185.08,186.00,175.82,178.36,177.94,25748300
Apr 11 2025,173.62,182.66,173.31,181.94,181.51,33964100
Apr 10 2025,175.30,176.95,166.40,172.30,171.90,51212200
Apr 9 2025,160.50,187.33,157.51,185.15,184.72,72708300
Apr 8 2025,167.62,169.78,153.09,156.03,155.66,58888200
Apr 7 2025,144.49,160.43,138.10,154.14,153.78,68503500
Apr 4 2025,148.17,152.80,139.17,146.29,145.95,72302200
Apr 3 2025,160.54,163.43,153.70,154.01,153.65,44354900
Apr 2 2025,166.08,173.43,165.50,172.09,171.69,19523700
Apr 1 2025,166.37,168.71,163.42,168.52,168.12,20472400
Mar 31 2025,164.49,167.94,160.62,167.43,167.04,35656400
Mar 28 2025,171.93,173.30,166.47,169.12,168.72,30391500
Mar 27 2025,177.66,178.38,170.46,171.99,171.59,32151700
Mar 26 2025,186.66,188.06,177.58,179.27,178.85,30578500
Mar 25 2025,190.89,191.60,187.68,188.26,187.82,23417300
Mar 24 2025,194.30,196.69,190.67,191.25,190.80,33180300
Mar 21 2025,188.21,192.07,187.37,191.66,191.21,43086500

Mar 20 2025,191.52,193.84,188.94,190.54,190.09,31430000
Mar 19 2025,189.34,198.27,186.90,195.57,194.52,37962700
Mar 18 2025,190.44,192.89,186.90,188.67,187.66,24951000
Mar 17 2025,188.05,196.72,187.50,194.50,193.46,26830600
Mar 14 2025,196.20,197.50,193.20,195.54,194.49,25900900
Mar 13 2025,193.15,196.32,189.47,191.36,190.33,27236100
Mar 12 2025,196.22,199.98,192.45,194.23,193.19,30409700
Mar 11 2025,188.05,195.62,185.35,190.09,189.07,42153200
Mar 10 2025,189.60,191.98,180.43,184.45,183.46,44217100
Mar 7 2025,187.73,195.48,181.56,194.96,193.92,74528900
Mar 6 2025,181.04,186.83,177.61,179.45,178.49,56864100
Mar 5 2025,191.86,194.08,187.10,191.58,190.55,25644500
Mar 4 2025,189.22,193.95,180.48,187.48,186.48,37910500
Mar 3 2025,204.00,204.06,184.53,187.37,186.37,37435600
Feb 28 2025,195.76,201.19,193.15,199.43,198.36,39747200
Feb 27 2025,217.28,219.25,197.40,197.80,196.74,27572900
Feb 26 2025,206.91,213.54,206.00,212.94,211.80,21368300
Feb 25 2025,207.00,208.64,200.92,202.54,201.45,33100800
Feb 24 2025,218.60,219.48,207.54,207.93,206.82,33050400
Feb 21 2025,225.65,227.75,215.63,218.66,217.49,24883600
Feb 20 2025,228.65,228.98,222.75,226.74,225.53,16104000
Feb 19 2025,227.85,229.07,224.40,228.73,227.50,16375500
Feb 18 2025,230.10,232.20,224.30,228.53,227.31,26080500
Feb 14 2025,234.53,235.74,228.90,233.04,231.79,16988800
Feb 13 2025,236.06,236.95,230.73,235.80,234.54,20962000
Feb 12 2025,230.36,236.48,230.00,236.35,235.08,16397300
Feb 11 2025,232.48,237.89,229.97,235.04,233.78,18476200
Feb 10 2025,227.43,235.82,227.12,235.04,233.78,23901600
Feb 7 2025,235.00,235.65,224.11,224.87,223.67,22117500
Feb 6 2025,234.50,234.80,228.56,231.36,230.12,21169500
Feb 5 2025,233.94,237.93,227.50,232.00,230.76,29196000
Feb 4 2025,219.35,223.03,215.30,222.43,221.24,23768500
Feb 3 2025,215.46,220.94,213.51,217.73,216.56,24507300
Jan 31 2025,219.66,226.80,216.30,221.27,220.08,41151000
Jan 30 2025,218.57,221.96,213.70,215.66,214.50,42449500
Jan 29 2025,208.84,211.45,202.77,206.35,205.24,32533700
Jan 28 2025,208.01,209.95,198.89,207.36,206.25,50316000
Jan 27 2025,213.40,218.43,196.23,202.13,201.05,90569400
Jan 24 2025,244.70,249.59,241.91,244.70,243.39,25387800
Jan 23 2025,238.41,240.40,236.12,240.28,238.99,17653900
Jan 22 2025,246.75,246.99,240.69,240.91,239.62,29610500
Jan 21 2025,241.50,242.75,237.40,240.31,239.02,30903200
Jan 17 2025,237.08,238.10,232.66,237.44,236.17,31196600
Jan 16 2025,235.22,238.60,229.21,229.41,228.18,23471900
Jan 15 2025,228.55,230.34,225.58,228.00,226.78,21745600
Jan 14 2025,226.57,230.26,223.10,224.70,223.50,18143100
Jan 13 2025,219.99,229.26,219.51,225.29,224.08,23772100
Jan 10 2025,227.30,227.83,221.25,224.31,223.11,23864000
Jan 8 2025,229.70,232.47,226.06,229.31,228.08,18756500
Jan 7 2025,239.50,239.50,227.60,228.64,227.41,25928600
Jan 6 2025,236.50,241.75,233.30,236.41,235.14,34028400
Jan 3 2025,233.59,236.49,229.00,232.55,231.30,24973200
Jan 2 2025,236.16,239.50,230.24,231.98,230.74,31525800
Dec 31 2024,235.88,237.46,231.31,231.84,230.60,17927700
Dec 30 2024,234.70,238.77,231.62,235.58,234.32,27316800
Dec 27 2024,245.64,245.78,236.35,241.75,240.45,29282200
Dec 26 2024,240.00,247.28,237.60,245.36,244.05,28459000
Dec 24 2024,240.12,240.23,234.80,239.68,238.40,22827200

Dec 23 2024,226.69,233.40,225.13,232.35,231.11,40643800
Dec 20 2024,220.36,230.29,218.91,220.79,219.02,131910400
Dec 19 2024,227.91,228.05,217.58,218.32,216.57,40845200
Dec 18 2024,239.41,239.85,219.22,223.62,221.83,53960100
Dec 17 2024,240.65,242.47,233.80,240.23,238.30,70382100
Dec 16 2024,231.79,251.88,230.81,250.00,248.00,111623200
Dec 13 2024,213.90,228.70,211.11,224.80,223.00,121336600
Dec 12 2024,180.93,182.00,175.99,180.66,179.21,46967200
Dec 11 2024,180.01,184.87,176.43,183.20,181.73,41295200
Dec 10 2024,177.81,178.50,169.73,171.81,170.43,27762600
Dec 9 2024,178.95,180.79,176.02,178.94,177.51,20886300
Dec 6 2024,170.10,180.68,169.33,179.53,178.09,27830800
Dec 5 2024,170.75,172.40,169.20,170.47,169.10,18490000
Dec 4 2024,173.44,175.39,168.56,170.56,169.19,32748200
Dec 3 2024,164.48,168.27,164.03,168.15,166.80,17024400
Dec 2 2024,162.95,168.38,162.75,166.51,165.18,21472400
Nov 29 2024,159.57,162.69,159.08,162.08,160.78,11024000
Nov 27 2024,163.20,163.20,157.54,159.67,158.39,19722700
Nov 26 2024,164.60,166.37,162.69,164.74,163.42,16308800
Nov 25 2024,165.40,167.23,162.89,164.82,163.50,26850600
Nov 22 2024,164.30,164.91,162.40,164.23,162.91,17332500
Nov 21 2024,166.25,166.34,160.60,163.94,162.63,24835300
Nov 20 2024,165.54,165.54,160.86,163.25,161.94,17196700
Nov 19 2024,166.66,166.80,164.31,165.35,164.02,18003400
Nov 18 2024,165.66,166.35,162.22,165.67,164.34,17870300
Nov 15 2024,168.47,169.14,163.43,164.84,163.52,20836200
Nov 14 2024,174.77,175.57,169.87,170.38,169.01,20638900
Nov 13 2024,174.71,175.59,172.60,173.58,172.19,17472500
Nov 12 2024,178.90,179.56,173.20,176.22,174.81,15862000
Nov 11 2024,183.40,183.63,176.82,178.91,177.48,17036700
Nov 8 2024,182.99,185.05,181.83,183.64,182.17,13503200
Nov 7 2024,181.99,184.87,181.79,183.81,182.34,18970600
Nov 6 2024,179.63,180.21,175.96,179.55,178.11,24300800
Nov 5 2024,170.05,174.40,170.05,173.90,172.51,13441800
Nov 4 2024,169.28,172.45,168.42,168.55,167.20,13621300
Nov 1 2024,168.26,171.33,167.50,168.92,167.57,17847000
Oct 31 2024,174.45,174.45,167.38,169.77,168.41,26086600
Oct 30 2024,177.47,179.19,175.62,176.64,175.22,17911500
Oct 29 2024,172.44,180.23,171.21,179.24,177.80,23702300
Oct 28 2024,173.00,173.97,171.35,172.02,170.64,13195800
Oct 25 2024,174.19,176.80,172.72,173.00,171.61,19977700
Oct 24 2024,174.26,174.30,169.50,171.35,169.98,20485200
Oct 23 2024,177.59,178.98,172.57,173.51,172.12,19513700
Oct 22 2024,178.66,180.69,177.41,179.38,177.94,12062600
Oct 21 2024,179.38,181.72,178.25,179.99,178.55,13695100
Oct 18 2024,182.32,182.71,178.68,179.89,178.45,17835200
Oct 17 2024,181.37,185.51,180.69,181.53,180.07,25232400
Oct 16 2024,178.51,179.25,175.33,176.82,175.40,15285100
Oct 15 2024,180.79,181.70,173.37,175.98,174.57,27657500
Oct 14 2024,183.30,184.95,180.13,182.31,180.85,17195800
