Date,Open,High,Low,Close,AdjClose,Volume
Jul 2 2025,111.57,111.82,110.37,110.71,110.71,13336051
Jul 1 2025,112.95,114.79,112.74,113.97,113.97,9243200
Jun 30 2025,112.46,113.49,111.40,113.41,113.41,10457300
Jun 27 2025,114.37,115.50,113.32,114.08,114.08,12355500
Jun 26 2025,114.10,114.20,113.38,113.93,113.93,8388000
Jun 25 2025,117.20,117.45,114.17,114.55,114.55,12835500
Jun 24 2025,114.61,117.32,113.62,117.01,117.01,17125100
Jun 23 2025,112.11,113.09,111.26,113.09,113.09,12536500
Jun 20 2025,114.11,114.43,112.62,113.01,113.01,12737300
Jun 18 2025,113.64,114.30,113.02,113.49,113.49,14002300
Jun 17 2025,115.94,116.61,115.03,115.03,115.03,10205700
Jun 16 2025,114.98,116.90,114.87,115.96,115.96,10242900
Jun 13 2025,113.67,114.78,112.27,112.87,112.87,13355100
Jun 12 2025,117.52,117.55,115.95,116.62,116.62,10204500
Jun 11 2025,122.63,123.46,120.05,120.33,120.33,10443100
Jun 10 2025,120.61,122.16,119.88,121.88,121.88,8892800
Jun 9 2025,121.09,122.15,120.12,121.48,121.48,10410600
Jun 6 2025,119.00,119.77,118.22,119.38,119.38,9753200
Jun 5 2025,120.95,121.55,119.14,119.96,119.96,15332200
Jun 4 2025,116.82,120.00,116.66,119.45,119.45,18115500
Jun 3 2025,115.38,115.81,114.42,114.97,114.97,14008900
Jun 2 2025,114.90,115.40,113.66,114.75,114.75,13147200
May 30 2025,115.01,115.07,111.60,113.84,113.84,17213200
May 29 2025,119.04,119.34,116.70,117.18,117.18,12392800
May 28 2025,117.45,117.92,116.51,116.74,116.74,11707700
May 27 2025,119.88,120.00,118.89,119.52,119.52,8544500
May 23 2025,119.58,121.04,119.28,120.73,120.73,7163400
May 22 2025,121.49,122.17,120.92,121.48,121.48,7820900
May 21 2025,125.45,126.06,122.77,123.59,123.59,8521400
May 20 2025,124.29,125.22,124.15,125.16,125.16,11790000
May 19 2025,120.18,123.06,120.00,122.96,122.96,11197000
May 16 2025,125.78,126.10,123.31,123.46,123.46,20090000
May 15 2025,126.24,126.32,122.65,123.90,123.90,35442800
May 14 2025,134.07,134.51,132.65,134.05,134.05,18278300
May 13 2025,131.00,133.03,130.20,131.65,131.65,16123600
May 12 2025,133.87,134.07,132.30,132.55,132.55,22631700
May 9 2025,126.99,127.77,125.19,125.33,125.33,11172200
May 8 2025,125.35,126.82,124.17,125.79,125.79,10846800
May 7 2025,124.91,124.96,122.91,123.23,123.23,15979200
May 6 2025,128.46,129.73,127.49,127.66,127.66,17919700
May 5 2025,125.00,127.13,124.71,126.57,126.57,9868800
May 2 2025,126.00,126.62,124.25,125.76,125.76,18092500
May 1 2025,120.19,121.45,119.36,120.53,120.53,8690200
Apr 30 2025,119.09,119.94,118.19,119.43,119.43,10144800
Apr 29 2025,117.73,119.88,117.69,118.88,118.88,8295500
Apr 28 2025,119.50,120.67,117.29,118.37,118.37,10748000
Apr 25 2025,118.58,120.49,118.27,120.28,120.28,9306400
Apr 24 2025,117.93,119.34,117.58,119.29,119.29,13696000
Apr 23 2025,119.59,123.81,118.75,118.97,118.97,25762800
Apr 22 2025,114.36,117.43,113.01,115.88,115.88,27662400
Apr 21 2025,108.73,110.23,107.27,110.15,110.15,12145700
Apr 17 2025,110.83,111.51,108.42,108.87,108.87,17885000
Apr 16 2025,108.18,108.97,105.95,106.75,106.75,18031600
Apr 15 2025,113.78,114.00,111.47,112.28,112.28,16172300
Apr 14 2025,111.87,116.00,111.70,113.97,113.97,32926100
Apr 11 2025,104.78,108.04,102.19,107.73,107.73,40522800
Apr 10 2025,106.86,108.45,101.37,104.18,104.18,53133400
Apr 9 2025,100.60,107.04,95.73,104.78,104.78,74981900
Apr 8 2025,108.26,109.00,97.75,99.37,99.37,52100200
Apr 7 2025,106.62,114.12,102.64,105.98,105.98,61386600
Apr 4 2025,117.57,118.87,111.30,116.54,116.54,57154500
Apr 3 2025,125.64,130.67,125.50,129.33,129.33,30607600
Apr 2 2025,131.96,132.83,129.15,129.79,129.79,21240900
Apr 1 2025,132.75,134.10,131.53,132.70,132.70,11627500
Mar 31 2025,130.03,132.87,128.00,132.23,132.23,12183800
Mar 28 2025,133.50,134.21,131.40,132.43,132.43,13271500
Mar 27 2025,133.45,137.79,132.88,135.63,135.63,16688300
Mar 26 2025,133.53,134.66,131.13,132.24,132.24,15933500
Mar 25 2025,132.94,136.24,132.35,132.75,132.75,17943400
Mar 24 2025,136.33,136.43,133.63,134.48,134.48,14019000
Mar 21 2025,133.99,136.47,133.30,135.14,135.14,13970300
Mar 20 2025,137.18,138.99,136.37,136.91,136.91,23646800
Mar 19 2025,145.07,145.20,141.87,143.20,143.20,16333800
Mar 18 2025,146.38,146.87,142.50,142.74,142.74,20950100
Mar 17 2025,140.16,148.43,140.03,147.57,147.57,33897000
Mar 14 2025,141.35,141.82,139.45,141.10,141.10,17381900
Mar 13 2025,134.77,140.28,134.34,138.35,138.35,20516300
Mar 12 2025,138.40,138.95,135.28,137.14,137.14,23880900
Mar 11 2025,138.16,141.33,136.04,139.02,139.02,29094800
Mar 10 2025,135.99,137.95,131.00,132.54,132.54,33484200
Mar 7 2025,142.92,145.36,139.38,140.62,140.62,31904400
Mar 6 2025,142.20,144.76,138.09,139.95,139.95,35482100
Mar 5 2025,134.37,141.83,133.34,141.03,141.03,37284600
Mar 4 2025,129.60,132.10,126.10,129.85,129.85,25366500
Mar 3 2025,134.01,134.71,129.56,130.81,130.81,22528000
Feb 28 2025,130.95,133.95,130.14,132.51,132.51,24862600
Feb 27 2025,138.68,140.10,135.87,136.55,136.55,23859400
Feb 26 2025,140.00,141.95,138.29,139.08,139.08,40543000
Feb 25 2025,132.79,134.47,130.75,134.01,134.01,38881100
Feb 24 2025,135.80,135.80,128.44,129.04,129.04,74118300
Feb 21 2025,141.60,145.30,141.10,143.75,143.75,73892100
Feb 20 2025,137.81,144.51,131.41,135.97,135.97,118849000
Feb 19 2025,126.00,127.70,124.95,125.79,125.79,35155200
Feb 18 2025,127.74,129.02,125.61,126.90,126.90,42152800
Feb 14 2025,126.59,126.80,120.50,124.73,124.73,52729800
Feb 13 2025,115.33,119.57,114.76,119.54,119.54,34429300
Feb 12 2025,115.82,119.81,114.96,118.33,118.33,44024700
Feb 11 2025,113.96,115.54,111.00,112.78,112.78,55001300
Feb 10 2025,107.32,111.65,106.70,111.32,111.32,42429400
Feb 7 2025,104.46,107.51,103.00,103.51,103.51,39538200
Feb 6 2025,101.25,101.74,99.86,100.38,100.38,12774600
Feb 5 2025,100.17,101.82,99.03,99.28,99.28,17017900
Feb 4 2025,100.59,103.61,99.68,102.35,102.35,29877500
Feb 3 2025,96.50,101.87,96.07,98.61,98.61,29282900
Jan 31 2025,102.00,102.50,98.00,98.84,98.84,36503500
Jan 30 2025,97.30,103.67,97.14,102.74,102.74,45929000
Jan 29 2025,99.39,101.28,96.45,96.72,96.72,75053000
Jan 28 2025,90.94,96.43,89.90,96.03,96.03,31296300
Jan 27 2025,90.59,91.43,89.22,89.99,89.99,25999800
Jan 24 2025,86.71,89.19,86.48,89.14,89.14,18791000
Jan 23 2025,85.80,86.20,84.96,86.10,86.10,9225600
Jan 22 2025,85.00,86.54,84.42,86.40,86.40,10354800
Jan 21 2025,86.87,86.90,84.92,85.38,85.38,17099500
Jan 17 2025,83.20,85.59,83.03,85.12,85.12,21132400
Jan 16 2025,82.02,82.59,81.82,82.43,82.43,7566500
Jan 15 2025,82.63,82.79,82.15,82.44,82.44,11655700
Jan 14 2025,82.39,82.65,81.49,81.68,81.68,8773700
Jan 13 2025,80.15,81.08,80.06,80.54,80.54,10726600
Jan 10 2025,82.25,82.25,80.40,80.53,80.53,15393900
Jan 8 2025,83.09,83.79,82.72,83.69,83.69,9661800
Jan 7 2025,84.31,85.11,83.78,84.48,84.48,11144100
Jan 6 2025,86.55,87.36,85.08,85.52,85.52,18077100
Jan 3 2025,85.10,85.55,84.76,85.54,85.54,7689500
Jan 2 2025,84.39,85.43,84.20,84.95,84.95,10635700
Dec 31 2024,84.42,85.35,84.42,84.79,84.79,7415000
Dec 30 2024,84.17,84.95,83.53,84.13,84.13,10731000
Dec 27 2024,84.89,85.27,84.29,85.06,85.06,8629400
Dec 26 2024,85.72,87.27,85.56,86.08,86.08,12008600
Dec 24 2024,85.70,85.89,85.00,85.52,85.52,5235400
Dec 23 2024,82.85,85.31,82.77,85.14,85.14,20055100
Dec 20 2024,82.21,83.00,81.70,82.28,82.28,21270500
Dec 19 2024,85.00,85.39,84.24,84.31,84.31,13795100
Dec 18 2024,86.39,87.22,84.83,85.00,85.00,11319500
Dec 17 2024,85.50,87.60,85.40,87.15,87.15,13288700
Dec 16 2024,85.96,86.92,85.87,86.06,86.06,13216600
Dec 13 2024,88.19,88.39,87.24,87.82,87.82,11608600
Dec 12 2024,89.04,90.00,88.49,89.23,89.23,9951200
Dec 11 2024,88.89,89.17,88.00,88.98,88.98,9866000
Dec 10 2024,89.79,90.56,89.50,89.83,89.83,13859200
Dec 9 2024,92.01,94.12,91.83,92.32,92.32,32767300
Dec 6 2024,86.01,86.69,85.90,85.93,85.93,11751500
Dec 5 2024,84.79,85.10,83.93,84.15,84.15,12979600
Dec 4 2024,85.95,85.99,84.27,84.93,84.93,13613700
Dec 3 2024,86.00,86.64,85.38,85.68,85.68,13660700
Dec 2 2024,86.94,87.00,85.27,85.95,85.95,16537200
Nov 29 2024,86.42,87.49,85.97,87.37,87.37,7553500
Nov 27 2024,86.97,87.54,86.47,86.59,86.59,13607600
Nov 26 2024,85.82,86.08,84.86,85.18,85.18,10241500
Nov 25 2024,84.25,85.88,83.75,85.58,85.58,15120100
Nov 22 2024,83.60,83.68,82.64,83.13,83.13,24999200
Nov 21 2024,86.98,87.04,85.44,85.58,85.58,15869200
Nov 20 2024,87.04,87.54,86.50,86.77,86.77,15174500
Nov 19 2024,87.16,87.94,86.82,87.11,87.11,19289000
Nov 18 2024,88.90,89.50,87.85,89.35,89.35,13513800
Nov 15 2024,90.20,90.70,87.23,88.59,88.59,31018300
Nov 14 2024,90.89,91.56,90.01,90.58,90.58,16946800
Nov 13 2024,92.55,92.87,91.28,92.00,92.00,12874500
Nov 12 2024,92.68,93.33,91.03,91.78,91.78,21641900
Nov 11 2024,96.16,96.80,95.04,95.42,95.42,12556700
Nov 8 2024,96.11,96.38,93.69,94.19,94.19,24879800
Nov 7 2024,99.26,101.10,99.18,100.14,100.14,16340400
Nov 6 2024,95.80,97.32,94.76,96.73,96.73,18162900
Nov 5 2024,99.97,101.09,98.96,99.21,99.21,10804200
Nov 4 2024,98.82,99.88,98.36,98.40,98.40,8681900
Nov 1 2024,98.22,98.30,97.42,97.58,97.58,8501000
Oct 31 2024,97.80,98.10,96.75,97.98,97.98,8379300
Oct 30 2024,98.21,99.80,97.58,98.70,98.70,10179900
Oct 29 2024,101.45,101.45,99.53,99.83,99.83,13685400
Oct 28 2024,99.03,101.05,98.78,99.93,99.93,16044400
Oct 25 2024,98.30,98.90,97.05,97.42,97.42,16977100
Oct 24 2024,96.79,97.41,95.52,96.36,96.36,13602900
Oct 23 2024,100.17,100.22,97.74,98.00,98.00,13638200
Oct 22 2024,100.01,101.89,99.80,100.46,100.46,20650100
Oct 21 2024,100.47,101.65,100.11,100.91,100.91,10328600
Oct 18 2024,103.36,103.36,101.66,102.43,102.43,20824600
Oct 17 2024,101.25,101.45,99.55,100.07,100.07,15808200
Oct 16 2024,102.50,103.85,101.78,102.17,102.17,16432600
Oct 15 2024,103.99,104.41,101.64,101.84,101.84,28942600
Oct 14 2024,108.31,110.08,106.92,107.81,107.81,21351600
Oct 11 2024,108.05,111.05,107.22,110.14,110.14,18042600
Oct 10 2024,108.98,110.84,107.48,109.28,109.28,19736600
Oct 9 2024,105.80,109.38,105.62,107.89,107.89,28793000
Oct 8 2024,110.10,110.76,108.04,109.68,109.68,37414400
Oct 7 2024,117.45,117.82,113.37,117.52,117.52,38404000
Oct 4 2024,115.67,115.73,113.75,114.53,114.53,25644200
Oct 3 2024,110.90,114.09,110.63,112.84,112.84,29267000
Oct 2 2024,115.31,116.57,112.22,115.25,115.25,53732800
Oct 1 2024,106.42,112.79,106.15,112.74,112.74,44505000
Sep 30 2024,111.72,112.22,106.11,106.12,106.12,58561500
Sep 27 2024,105.97,109.43,105.73,107.33,107.33,50075200
Sep 26 2024,102.69,105.97,101.76,105.07,105.07,67261600
Sep 25 2024,94.38,96.18,94.06,95.46,95.46,18816600
Sep 24 2024,96.07,97.50,94.40,97.19,97.19,47423200
Sep 23 2024,89.47,91.15,89.32,90.09,90.09,19744100
Sep 20 2024,89.22,89.52,88.05,88.29,88.29,12277000
Sep 19 2024,87.63,88.57,86.95,88.49,88.49,18618400
Sep 18 2024,84.85,85.00,84.04,84.42,84.42,7858800
Sep 17 2024,84.82,85.77,84.63,84.70,84.70,10113900
Sep 16 2024,84.04,84.38,83.26,83.60,83.60,11298200
Sep 13 2024,84.39,84.89,83.82,84.69,84.69,8985500
Sep 12 2024,85.03,85.68,84.86,85.49,85.49,10781300
Sep 11 2024,83.57,84.84,83.50,84.81,84.81,11551700
Sep 10 2024,83.80,84.30,82.71,83.80,83.80,15327800
Sep 9 2024,80.93,81.63,80.32,81.44,81.44,10434400
Sep 6 2024,82.12,82.62,81.17,81.18,81.18,11712700
Sep 5 2024,82.11,83.01,82.00,82.43,82.43,8461000
Sep 4 2024,82.87,83.40,82.30,82.47,82.47,11114100
Sep 3 2024,81.78,83.02,81.70,82.27,82.27,11638200
Aug 30 2024,84.72,84.75,82.58,83.34,83.34,20027300
Aug 29 2024,81.24,81.46,80.46,81.02,81.02,14154200
Aug 28 2024,81.13,81.28,79.21,79.62,79.62,14024400
Aug 27 2024,82.27,82.65,81.27,81.45,81.45,9026100
Aug 26 2024,81.89,82.31,80.37,81.76,81.76,29321700
Aug 23 2024,84.90,85.79,84.36,85.41,85.41,17318000
