Date,Open,High,Low,Close,AdjClose,Volume
Jul 25 2025,512.47,518.29,510.36,513.71,513.71,19106400
Jul 24 2025,508.77,513.67,507.30,510.88,510.88,16107000
Jul 23 2025,506.75,506.79,500.70,505.87,505.87,16396600
Jul 22 2025,510.97,511.20,505.27,505.27,505.27,13868600
Jul 21 2025,506.71,512.09,505.55,510.06,510.06,14066800
Jul 18 2025,514.48,514.64,507.43,510.05,510.05,21209700
Jul 17 2025,505.68,513.37,505.62,511.70,511.70,17503100
Jul 16 2025,505.18,506.72,501.89,505.62,505.62,15154400
Jul 15 2025,503.02,508.30,502.79,505.82,505.82,14927200
Jul 14 2025,501.52,503.97,501.03,503.02,503.02,12058800
Jul 11 2025,498.47,505.03,497.80,503.32,503.32,16459500
Jul 10 2025,503.05,504.44,497.75,501.48,501.48,16492100
Jul 9 2025,500.30,506.78,499.74,503.51,503.51,18659500
Jul 8 2025,497.24,498.20,494.11,496.62,496.62,11846600
Jul 7 2025,497.38,498.75,495.23,497.72,497.72,13981600
Jul 3 2025,493.81,500.13,493.44,498.84,498.84,13984800
Jul 2 2025,489.99,493.50,488.70,491.09,491.09,16319600
Jul 1 2025,496.47,498.05,490.98,492.05,492.05,19945400
Jun 30 2025,497.04,500.76,495.33,497.41,497.41,28369000
Jun 27 2025,497.55,499.30,493.03,495.94,495.94,34539200
Jun 26 2025,492.98,498.04,492.81,497.45,497.45,21578900
Jun 25 2025,492.04,494.56,489.39,492.27,492.27,17495100
Jun 24 2025,488.95,491.85,486.80,490.11,490.11,22305600
Jun 23 2025,478.21,487.75,472.51,486.00,486.00,24864000
Jun 20 2025,482.23,483.46,476.87,477.40,477.40,37576200
Jun 18 2025,478.00,481.00,474.46,480.24,480.24,17526500
Jun 17 2025,475.40,478.74,474.08,478.04,478.04,15414100
Jun 16 2025,475.21,480.69,475.00,479.14,479.14,15626100
Jun 13 2025,476.41,479.18,472.76,474.96,474.96,16814500
Jun 12 2025,475.02,480.42,473.52,478.87,478.87,18950600
Jun 11 2025,470.02,475.47,469.66,472.62,472.62,16399200
Jun 10 2025,471.19,472.80,466.96,470.92,470.92,15375900
Jun 9 2025,469.70,473.43,468.62,472.75,472.75,16469900
Jun 6 2025,470.09,473.34,468.78,470.38,470.38,15285600
Jun 5 2025,464.96,469.65,464.03,467.68,467.68,20131700
Jun 4 2025,464.00,465.69,463.02,463.87,463.87,14162700
Jun 3 2025,461.47,464.14,460.86,462.97,462.97,15743800
Jun 2 2025,457.14,462.11,456.89,461.97,461.97,16626500
May 30 2025,459.72,461.68,455.54,460.36,460.36,34770500
May 29 2025,461.55,461.72,455.31,458.68,458.68,13974800
May 28 2025,461.22,462.52,456.93,457.36,457.36,17086300
May 27 2025,456.48,460.95,456.12,460.69,460.69,20974300
May 23 2025,449.98,453.69,448.91,450.18,450.18,16883500
May 22 2025,454.95,460.25,453.90,454.86,454.86,18025600
May 21 2025,454.57,457.78,451.81,452.57,452.57,19216900
May 20 2025,455.59,458.34,454.32,458.17,458.17,15441800
May 19 2025,450.88,459.59,450.80,458.87,458.87,21336500
May 16 2025,452.05,454.36,448.73,454.27,454.27,23849800

May 15 2025,450.77,456.19,450.43,453.13,453.13,21992300
May 14 2025,448.14,453.90,448.14,452.94,452.11,19902800
May 13 2025,447.78,450.67,445.36,449.14,448.32,23618800
May 12 2025,445.94,449.37,439.78,449.26,448.44,22821900
May 9 2025,440.00,440.74,435.88,438.73,437.93,15324200
May 8 2025,437.93,443.67,435.66,438.17,437.37,23491300
May 7 2025,433.84,438.12,431.11,433.35,432.56,23295300
May 6 2025,432.20,437.73,431.17,433.31,432.52,15104200
May 5 2025,432.87,439.50,432.11,436.17,435.37,20136100
May 2 2025,431.74,439.44,429.99,435.28,434.48,30757400
May 1 2025,431.11,436.99,424.90,425.40,424.62,58938100
Apr 30 2025,390.30,396.66,384.44,395.26,394.54,36461100
Apr 29 2025,391.30,395.10,390.38,394.04,393.32,14974000
Apr 28 2025,391.96,392.74,386.64,391.16,390.44,16579400
Apr 25 2025,387.00,392.16,384.60,391.85,391.13,18973200
Apr 24 2025,375.70,388.45,375.19,387.30,386.59,22232300
Apr 23 2025,376.06,380.39,373.02,374.39,373.70,20545500
Apr 22 2025,363.38,367.77,359.86,366.82,366.15,19485000
Apr 21 2025,362.82,364.48,355.67,359.12,358.46,20807300
Apr 17 2025,373.75,374.32,366.89,367.78,367.11,21120200
Apr 16 2025,380.67,381.61,368.00,371.61,370.93,21967800
Apr 15 2025,388.51,391.89,384.16,385.73,385.02,17199900
Apr 14 2025,393.22,394.65,384.21,387.81,387.10,19251200
Apr 11 2025,380.64,390.05,378.89,388.45,387.74,23839200
Apr 10 2025,382.06,383.90,367.80,381.35,380.65,38024400
Apr 9 2025,353.54,393.23,353.10,390.49,389.77,50199700
Apr 8 2025,368.26,373.65,350.25,354.56,353.91,35868900
Apr 7 2025,350.88,371.00,344.79,357.86,357.20,50425000
Apr 4 2025,364.13,374.59,359.48,359.84,359.18,49209900
Apr 3 2025,374.79,377.48,369.35,373.11,372.43,30198000
Apr 2 2025,377.97,385.08,376.62,382.14,381.44,16092600
Apr 1 2025,374.65,382.85,373.23,382.19,381.49,19689500
Mar 31 2025,372.54,377.07,367.24,375.39,374.70,35184700
Mar 28 2025,388.08,389.13,376.93,378.80,378.11,21632000
Mar 27 2025,390.13,392.24,387.40,390.58,389.86,13766800
Mar 26 2025,395.00,395.31,388.57,389.97,389.26,16108400
Mar 25 2025,393.92,396.36,392.64,395.16,394.44,15775000
Mar 24 2025,395.40,395.40,389.81,393.08,392.36,21004500
Mar 21 2025,383.22,391.74,382.80,391.26,390.54,39675900
Mar 20 2025,385.74,391.79,383.28,386.84,386.13,18470500
Mar 19 2025,385.53,389.68,384.00,387.82,387.11,19185500
Mar 18 2025,387.07,387.37,381.10,383.52,382.82,19486900
Mar 17 2025,386.70,392.71,385.57,388.70,387.99,22474300
Mar 14 2025,379.78,390.23,379.51,388.56,387.85,19952800
Mar 13 2025,383.16,385.32,377.45,378.77,378.08,20473000
Mar 12 2025,382.95,385.22,378.95,383.27,382.57,24253600
Mar 11 2025,379.00,386.00,376.91,380.45,379.75,30380200
Mar 10 2025,385.84,386.40,377.22,380.16,379.46,32840100
Mar 7 2025,392.32,394.80,385.54,393.31,392.59,22034100
Mar 6 2025,394.28,402.15,392.68,396.89,396.16,23304600
Mar 5 2025,389.34,401.67,388.81,401.02,400.29,23433100
Mar 4 2025,383.40,392.58,381.00,388.61,387.90,29342900
Mar 3 2025,398.82,398.82,386.16,388.49,387.78,23007700
Feb 28 2025,392.66,397.63,386.57,396.99,396.26,32845700
Feb 27 2025,401.27,405.74,392.17,392.53,391.81,21127400
Feb 26 2025,398.01,403.60,394.25,399.73,399.00,19619000
Feb 25 2025,401.10,401.92,396.70,397.90,397.17,29387400
Feb 24 2025,408.51,409.37,399.32,404.00,403.26,26443700
Feb 21 2025,417.34,418.05,407.89,408.21,407.46,27524800

Feb 20 2025,415.29,419.31,412.54,416.13,415.37,23508700
Feb 19 2025,407.88,415.49,407.65,414.77,413.18,24114200
Feb 18 2025,408.00,410.60,406.50,409.64,408.07,21423100
Feb 14 2025,407.79,408.91,405.88,408.43,406.87,22758500
Feb 13 2025,407.00,411.00,406.36,410.54,408.97,23891700
Feb 12 2025,407.21,410.75,404.37,409.04,407.47,19121700
Feb 11 2025,409.64,412.49,409.30,411.44,409.86,18140600
Feb 10 2025,413.71,415.46,410.92,412.22,410.64,20817900
Feb 7 2025,416.48,418.65,408.10,409.75,408.18,22886800
Feb 6 2025,414.00,418.20,414.00,415.82,414.23,16309800
Feb 5 2025,412.35,413.83,410.40,413.29,411.71,16316700
Feb 4 2025,412.69,413.92,409.74,412.37,410.79,20532100
Feb 3 2025,411.60,415.41,408.66,410.92,409.35,25679100
Jan 31 2025,418.98,420.69,414.91,415.06,413.47,34161900
Jan 30 2025,418.77,422.86,413.16,414.99,413.40,54586300
Jan 29 2025,446.69,446.88,440.40,442.33,440.64,23581400
Jan 28 2025,434.60,448.38,431.38,447.20,445.49,23491700
Jan 27 2025,424.01,435.20,423.50,434.56,432.90,35647800
Jan 24 2025,445.16,446.65,441.40,444.06,442.36,15549500
Jan 23 2025,442.00,446.75,441.50,446.71,445.00,18389300
Jan 22 2025,437.56,447.27,436.00,446.20,444.49,27803800
Jan 21 2025,430.20,430.90,425.60,428.50,426.86,26085700
Jan 17 2025,434.09,434.48,428.17,429.03,427.39,26197500
Jan 16 2025,428.70,429.49,424.39,424.58,422.95,15300000
Jan 15 2025,419.13,428.15,418.27,426.31,424.68,19637800
Jan 14 2025,417.81,419.74,410.72,415.67,414.08,16935900
Jan 13 2025,415.24,418.50,412.29,417.19,415.59,17604800
Jan 10 2025,424.63,424.71,415.02,418.95,417.35,20201100
Jan 8 2025,423.46,426.97,421.54,424.56,422.93,15054600
Jan 7 2025,429.00,430.65,420.80,422.37,420.75,18139100
Jan 6 2025,428.00,434.32,425.48,427.85,426.21,20573600
Jan 3 2025,421.08,424.03,419.54,423.35,421.73,16662900
Jan 2 2025,425.53,426.07,414.85,418.58,416.98,16896500
Dec 31 2024,426.10,426.73,420.66,421.50,419.89,13246500
Dec 30 2024,426.06,427.55,421.90,424.83,423.20,13158700
Dec 27 2024,434.60,435.22,426.35,430.53,428.88,18117700
Dec 26 2024,439.08,440.94,436.63,438.11,436.43,8194200
Dec 24 2024,434.65,439.60,434.19,439.33,437.65,7164500
Dec 23 2024,436.74,437.65,432.83,435.25,433.58,19152500
Dec 20 2024,433.11,443.74,428.63,436.60,434.93,64263700
Dec 19 2024,441.62,443.18,436.32,437.03,435.36,22963700
Dec 18 2024,451.32,452.65,437.02,437.39,435.71,24444500
Dec 17 2024,451.01,455.29,449.57,454.46,452.72,22733500
Dec 16 2024,447.27,452.18,445.28,451.59,449.86,23598800
Dec 13 2024,448.44,451.43,445.58,447.27,445.56,20177800
Dec 12 2024,449.11,456.16,449.11,449.56,447.84,20834800
